sample,transformed_min,transformed_max,voxel_min,voxel_max,h1_min,h1_max,l2_min,l2_max
939,0.056616860831643835,17.592264919264096,0.05697335182435059,16.819215066592307,-1.6343429727930507,8.240117769452663,0.09887226277207449,7.415349185510887
940,0.08703087207429204,3.6171164343563302,0.09077253542429731,3.482595214533308,-0.12063127368870154,1.676118175440564,0.1314574598226606,2.511705899301942
941,0.25112373813068695,16.151920756761974,0.2590915407220147,16.04571586532983,0.1290153399358317,6.560210582531177,0.28733939027408595,5.144074869727793
942,0.14023656728043238,19.19428015890978,0.14449606580474322,18.394328183427564,-0.08611947667864885,13.594425512888908,0.18676776890730665,11.01602556174226
943,0.1582226733908974,13.679032929801727,0.1590605437167855,12.722093861725341,-0.20272808498465325,4.302744259939773,0.20963290384060013,5.531475116885647
944,0.12243177338808141,4.551726540276853,0.12763441573091344,4.416725099153597,-0.15338201471778895,4.179028265862134,0.34256459791961014,3.4406198778942487
945,0.19623411077672126,21.90443989091409,0.1992788804463533,20.96727216677874,-0.46568633324647457,9.344136081102059,0.29715384583036003,7.754948821284589
946,0.24937152685732608,7.189131964620852,0.26285001422368237,7.086793303164174,0.3083760737880694,5.231119162094275,0.4594338319570769,5.020319605252616
947,0.09996099083923826,5.284959171220502,0.10539079612116081,5.162520544935719,-0.38587940876010046,2.7907895353912497,0.20313865255194882,2.5464421670736463
948,0.08562398823692037,3.785196738615655,0.09106895836936026,3.636039567426782,-0.03188999556364047,2.1964506723616943,0.1490839195089749,2.5579625848955434
949,0.2725758109306235,14.295017046786777,0.27379140109283334,13.928412308276178,-0.9674404817934518,7.350485417416584,0.6050028393683824,8.243803780735693
950,0.18448144810411185,20.992597028465006,0.18692489047518948,20.40594937527213,-0.8555647951208136,7.6964274372843775,0.3686689357902207,4.53699082125359
951,0.18589883793625261,31.240834277034168,0.20590494705905107,31.04399677735097,-3.7321192097078093,17.608557063962877,0.3712695286400441,22.570703903617478
952,0.050962036398448346,8.67602467252848,0.0570781015558084,8.551449403683193,-0.6008987581740359,3.4237762862511225,0.14629960113642881,8.324681899203394
953,0.20580132813930202,14.214567207742025,0.21639150735931878,13.927369202941273,0.022636467173806962,9.034616698700225,0.35022099519452665,7.237927608569546
954,0.11394303040455525,5.958484601129958,0.11402876373082602,5.766200329452784,-0.027883512437615072,3.0990832438722506,0.39289535504193507,4.284736044914963
955,0.05563314383730004,4.911239109309122,0.05575442702362274,4.789260740574129,-0.020513781941830275,3.3610752998332636,0.21663146619198795,2.9931226765729813
956,0.049498925175899,14.084067839931729,0.05144114259307565,13.528182172399983,-0.16488926248242924,11.867724570624,0.06578981539592274,9.860522881356848
957,0.12193630173269569,10.554540166001068,0.12779504181997142,9.9365343531913,0.18020089483224394,6.685736540367406,0.2364353340631936,5.95825694277364
958,0.21381616734954417,12.927971089216497,0.2170723194722295,12.826793130396936,-0.5778302150513002,8.420755850581795,0.4374053749246634,9.222508992280877
959,0.054919675212188206,25.25029984968291,0.05725309389278161,24.24839491339158,-0.13425742787803852,23.1686875275302,0.07178316305059493,7.736358860932163
960,0.09632887881580882,13.413246505730903,0.10063630421065901,13.019534022269395,-1.5024008575638395,4.432432119834861,0.21869624008707675,9.701890367275963
961,0.1468753854781075,8.637414183549783,0.1585664696231931,8.60442971371111,-0.09110995228978047,7.149043524020513,0.26904878091104895,6.539327068176853
962,0.22710078655348098,17.975373989680392,0.2336012469884951,17.896548303992716,-0.43072986213442177,9.766297210374358,0.4683728846406208,4.565616535843795
963,0.08525693757348164,9.050771027776907,0.09324067961595241,8.708955501006429,-0.8144998301026518,6.9944105187751875,0.2744292156894396,4.156235624562701
964,0.079644949430183,6.394455102574629,0.08249729816573832,6.108729089126773,-0.054482591139780163,2.9981475881001716,0.2059424370675529,2.433192257759309
965,0.0669031911017517,8.245448377302571,0.06874274366215266,8.129548853735166,-0.013803663804193168,5.9671901006687635,0.23097455830759916,6.14111442668702
966,0.21908055190402967,20.90369600045504,0.22276082432177605,19.068059181736274,-1.9842092218449352,7.515074527624521,0.4032202085729552,17.60381161040529
967,0.10792781184300447,4.402438527316689,0.10884339724118267,4.322256846767929,-0.07810271558476202,2.5557008316479255,0.14377576435906117,3.620621457201852
968,0.17840311235859768,6.5407951707669145,0.18196381116632987,6.444294167934498,0.5002692069795321,4.948450573078652,0.3621705635218892,4.117956913111827
969,0.17777278233868785,6.876824354155757,0.1867343465344275,6.631993701790177,-0.024322968957902043,2.512324262938955,0.255354712801687,4.99092823921688
970,0.09956954981454405,5.204376383850179,0.1002270543646909,5.049340836338028,-0.8719999842561691,3.6818896654867825,0.19248792428837155,5.016720196659725
